"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Sentient Ochre Jelly","TftYP","Large","ooze","unaligned","8","45 (6d10 + 12)","10 ft., climb 10 ft.","15","6","14","5","6","1","","","","acid","lightning, slashing","blinded, deafened, exhaustion, frightened, prone","blindsight 60 ft. (blind beyond this radius), passive Perception 8","Common","2 (450 XP)"," Amorphous. The jelly can move through a space as narrow as 1 inch wide without squeezing. Spider Climb. The jelly can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Pseudopod. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) bludgeoning damage plus 3 (1d6) acid damage.",""," Split. When a jelly that is Medium or larger is subjected to lightning or slashing damage, it splits into two new jellies if it has at least 10 hit points. Each new jelly has hit points equal to half the original jelly's, rounded down. New jellies are one size smaller than the original jelly.","","","","",""
"Sergeant","ERLW","Medium","humanoid (any race)","any alignment","16 (chain shirt, shield)","11 (2d8 + 2)","30 ft.","13","12","12","10","11","10","","Perception +2","","","","","passive Perception 12","any one language (usually Common)","1/8 (25 XP)",""," Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.","","","","","","",""
"Sergeant","WDH","Medium","humanoid (any race)","any alignment","16 (chain shirt, shield)","11 (2d8 + 2)","30 ft.","13","12","12","10","11","10","","Perception +2","","","","","passive Perception 12","any one language (usually Common)","1/8 (25 XP)",""," Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.","","","","","","",""
"Servitor Thrull","GGR","Small","construct","unaligned","11","22 (4d6 + 8)","30 ft.","11","13","14","6","6","3","","","","","poison","exhaustion, poisoned","darkvision 60 ft., passive Perception 8","understands Common but can't speak","1/4 (50 XP)",""," Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.",""," Self-Sacrifice. When a creature within 5 feet of the thrull is hit by an attack, the thrull swaps places with that creature and is hit instead.","","","","",""
"Setessan Hoplite","MOT","Medium","humanoid","any alignment","16 (leather, shield)","58 (9d8 + 18)","30 ft.","14","16","14","13","16","11","Dex +5, Wis +5","Acrobatics +5, Perception +5, Survival +5","","","","","passive Perception 15","Common","4 (1,100 XP)"," Pack Tactics. The hoplite has advantage on an attack roll against a creature if at least one of the hoplite's allies is within 5 feet of the hoplite and the ally isn't incapacitated."," Multiattack. The hoplite makes two scimitar attacks or two longbow attacks. Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage plus 10 (3d6) poison damage. Longbow. Ranged Weapon Attack: +5 to hit, range 150/600 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 10 (3d6) poison damage.","","","","","","",""
"Shadar-kai Gloom Weaver","MPMM","Medium","humanoid (elf)","neutral evil","14","104 (16d8 + 32)","30 ft.","11","18","14","15","12","18","Dex +8, Con +6","","","","necrotic","charmed, exhaustion","darkvision 60 ft., passive Perception 11","Common, Elvish","9 (5,000 XP)"," Burden of Time. Beasts and Humanoids (except elves) have disadvantage on saving throws while within 10 feet of the shadar-kai. Fey Ancestry. The shadar-kai has advantage on saving throws against being charmed, and magic can't put it to sleep."," Multiattack. The shadar-kai makes three Shadow Spear attacks. It can replace one attack with a use of Spellcasting. Shadow Spear. Melee or Ranged Weapon Attack: +8 to hit, reach 5 ft. or range 30/120, one target. Hit: 7 (1d6 + 4) piercing damage plus 26 (4d12) necrotic damage. Hit or Miss: The spear magically returns to the shadar-kai's hand immediately after a ranged attack. Spellcasting. The shadar-kai casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 16):At will: arcane eye, mage armor, minor illusion, prestidigitation, speak with dead1/day each: arcane gate, bane, confusion, darkness, fear, major image, true seeing",""," Misty Escape (Recharge 6). When the shadar-kai takes damage, it turns invisible and teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see. It remains invisible until the start of its next turn or until it attacks or casts a spell.","","","","","Underdark, Urban"
"Shadar-kai Shadow Dancer","MPMM","Medium","humanoid (elf)","any alignment","15 (studded leather)","71 (13d8 + 13)","30 ft.","12","16","13","11","12","12","Dex +6, Cha +4","Stealth +6","","necrotic","","charmed, exhaustion","darkvision 60 ft., passive Perception 11","Common, Elvish","7 (2,900 XP)"," Fey Ancestry. The shadar-kai has advantage on saving throws against being charmed, and magic can't put it to sleep."," Multiattack. The shadar-kai makes three Spiked Chain attacks.It can use Shadow Jump after one of these attacks. Spiked Chain. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 10 (2d6 + 3) piercing damage. The target must succeed on a DC 14 Dexterity saving throw or suffer one of the following effects (choose one or roll a d6):1–2: Decay. The target takes 22 (4d10) necrotic damage.3–4: Grapple. The target is grappled (escape DC 14) if it is a Medium or smaller creature. Until the grapple ends, the target is restrained, and the shadar-kai can't grapple another target.5–6: Topple. The target is knocked prone."," Shadow Jump. The shadar-kai teleports, along with any equipment is it wearing or carrying, up to 30 feet to an unoccupied space it can see. Both the space it teleports from and the space it teleports to must be in dim light or darkness.","","","","","","Forest, Underdark, Urban"
"Shadar-kai Soul Monger","MPMM","Medium","humanoid (elf)","neutral evil","15 (studded leather)","136 (21d8 + 42)","30 ft.","8","17","14","19","15","13","Dex +7, Wis +7, Cha +5","Perception +7","","","necrotic, psychic","charmed, exhaustion, frightened","darkvision 60 ft., passive Perception 17","Common, Elvish","11 (7,200 XP)"," Fey Ancestry. The shadar-kai has advantage on saving throws against being charmed, and magic can't put it to sleep. Magic Resistance. The shadar-kai has advantage on saving throws against spells and other magical effects. Soul Thirst. When it reduces a creature to 0 hit points, the shadar-kai can gain temporary hit points equal to half the creature's hit point maximum. While the shadar-kai has temporary hit points from this trait, it has advantage on attack rolls. Weight of Ages. Any Beast or Humanoid (except an elf) that starts its turn within 5 feet of the shadar-kai has its speed reduced by 20 feet until the start of that creature's next turn."," Multiattack. The shadar-kai makes two Shadow Dagger attacks. Shadow Dagger. Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 13 (4d4 + 3) piercing damage plus 19 (3d12) necrotic damage, and the target has disadvantage on saving throws until the end of the shadar-kai's next turn. Hit or Miss: The dagger magically returns to the shadar-kai's hand immediately after a ranged attack. Spellcasting. The shadar-kai casts one of the following spells, requiring no material components and using Intelligence as the spellcasting ability (spell save DC 16):1/day each: bestow curse, finger of death, gaseous form, seeming Wave of Weariness (Recharge 4–6). The shadar-kai emits weariness in a 60-foot cube. Each creature in that area must make a DC 16 Constitution saving throw. On a failed save, a creature takes 45 (10d8) psychic damage and suffers 1 level of exhaustion. On a successful save, it takes half as much damage and doesn't gain a level of exhaustion.","","","","","","","Underdark, Urban"
"Shadow","MM","Medium","undead","chaotic evil","12","16 (3d8 + 3)","40 ft.","6","14","13","6","10","8","","Stealth +4","radiant","acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison","exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","darkvision 60 ft., passive Perception 10","—","1/2 (100 XP)"," Amorphous. The shadow can move through a space as narrow as 1 inch wide without squeezing. Shadow Stealth. While in dim light or darkness, the shadow can take the Hide action as a bonus action. Its stealth bonus is also improved to +6. Sunlight Weakness. While in sunlight, the shadow has disadvantage on attack rolls, ability checks, and saving throws."," Strength Drain. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 9 (2d6 + 2) necrotic damage, and the target's Strength score is reduced by 1d4. The target dies if this reduces its Strength to 0. Otherwise, the reduction lasts until the target finishes a short or long rest.If a non-evil humanoid dies from this attack, a new shadow rises from the corpse 1d4 hours later.","","","","","","","Underdark, Urban"
"Shadow Assassin","WDMM","Medium","undead","chaotic evil","14","78 (12d8 + 24)","40 ft.","6","19","14","13","12","14","Dex +8, Int +5","Perception +9, Stealth +12","radiant","acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison","exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","darkvision 60 ft., passive Perception 19","understands the languages it knew in life but can't speak","9 (5,000 XP)"," Amorphous. The assassin can move through a space as narrow as 1 inch wide without squeezing. Shadow Stealth. While in dim light or darkness, the assassin can take the Hide action as a bonus action. Sunlight Weakness. While in sunlight, the assassin has disadvantage on attack rolls, ability checks, and saving throws."," Multiattack. The assassin makes two Shadow Blade attacks. Shadow Blade. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. Unless the target is immune to necrotic damage, the target's Strength score is reduced by 1d4 each time it is hit by this attack. The target dies if its Strength is reduced to 0. The reduction lasts until the target finishes a short or long rest. If a non-evil humanoid dies from this attack, a shadow (see the Monster Manual) rises from the corpse 1d4 hours later.","","","","","","",""
"Shadow Demon","MM","Medium","fiend (demon)","chaotic evil","13","66 (12d8 + 12)","30 ft., fly 30 ft.","1","17","12","14","13","14","Dex +5, Cha +4","Stealth +7","radiant","acid, fire, necrotic, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, lightning, poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained","darkvision 120 ft., passive Perception 11","Abyssal, telepathy 120 ft.","4 (1,100 XP)"," Incorporeal Movement. The demon can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object. Light Sensitivity. While in bright light, the demon has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight. Shadow Stealth. While in dim light or darkness, the demon can take the Hide action as a bonus action."," Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 10 (2d6 + 3) psychic damage or, if the demon had advantage on the attack roll, 17 (4d6 + 3) psychic damage.","","","","","","",""
"Shadow Horror","GGR","Large","aberration","neutral evil","13","120 (16d10 + 32)","40 ft.","12","16","14","2","17","18","","Perception +7, Stealth +11","radiant","","","frightened","darkvision 120 ft., passive Perception 17","—","9 (5,000 XP)"," Incorporeal Movement. The horror can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object. Shadow Stealth. While in dim light or darkness, the horror can take the Hide action as a bonus action. Shadow Stride. As a bonus action, the horror can step into a shadow within 5 feet of it and magically appear in an unoccupied space within 5 feet of a second shadow that is up to 60 feet away. Both shadows must be cast by a Small or larger creature or object. Sunlight Sensitivity. While in sunlight, the horror has disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight."," Multiattack. The horror makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 21 (4d8 + 3) piercing damage. Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (3d6 + 3) slashing damage, and the target must succeed on a DC 16 Wisdom saving throw or be frightened of the horror until the end of the target's next turn. Lashing Shadows (Recharge 5–6). Each creature within 60 feet of the horror, except other horrors, must succeed on a DC 16 Dexterity saving throw or take 27 (6d8) necrotic damage.","","","","","","",""
"Shadow Mastiff","MPMM","Medium","monstrosity","neutral evil","12","33 (6d8 + 6)","40 ft.","16","14","13","5","12","5","","Perception +5, Stealth +6","","bludgeoning, piercing, and slashing from nonmagical attacks while in dim light or darkness","","","darkvision 60 ft., passive Perception 15","—","2 (450 XP)"," Ethereal Awareness. The shadow mastiff can see ethereal creatures and objects. Sunlight Weakness. While in bright light created by sunlight, the shadow mastiff has disadvantage on attack rolls, ability checks, and saving throws."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone."," Shadow Blend. While in dim light or darkness, the shadow mastiff becomes invisible, along with anything it is wearing or carrying. The invisibility lasts until the shadow mastiff uses a bonus action to end it or until the shadow mastiff attacks, is in bright light, or is incapacitated.","","","","","","Forest, Hill, Swamp"
"Shadow Mastiff Alpha","MPMM","Medium","monstrosity","neutral evil","12","44 (8d8 + 8)","40 ft.","16","14","13","6","12","5","","Perception +5, Stealth +6","","bludgeoning, piercing, and slashing from nonmagical attacks while in dim light or darkness","","","darkvision 60 ft., passive Perception 15","—","3 (700 XP)"," Ethereal Awareness. The shadow mastiff can see ethereal creatures and objects. Sunlight Weakness. While in bright light created by sunlight, the shadow mastiff has disadvantage on attack rolls, ability checks, and saving throws."," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone. Terrifying Howl (Recharge 6). The shadow mastiff howls. Any Beast or Humanoid within 300 feet of it must succeed on a DC 11 Wisdom saving throw or be frightened of it for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's save is successful or the effect ends for it, the target is immune to any shadow mastiff's Terrifying Howl for the next 24 hours."," Shadow Blend. While in dim light or darkness, the shadow mastiff becomes invisible, along with anything it is wearing or carrying. The invisibility lasts until the shadow mastiff uses a bonus action to end it or until the shadow mastiff attacks, is in bright light, or is incapacitated.","","","","","","Forest, Hill, Swamp"
"Shadow Spirit","TCE","Medium","monstrosity","unaligned","11 + the level of the spell (natural armor)","35 + 15 for each spell level above 3rd","40 ft.","13","16","15","4","10","16","","","","necrotic","","frightened","darkvision 120 ft., passive Perception 10","understands the languages you speak",""," Terror Frenzy (Fury Only). The spirit has advantage on attack rolls against frightened creatures. Weight of Sorrow (Despair Only). Any creature, other than you, that starts its turn within 5 feet of the spirit has its speed reduced by 20 feet until the start of that creature's next turn."," Multiattack. The spirit makes a number of attacks equal to half this spell's level (rounded down). Chilling Rend. Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d12 + 3 + the spell's level cold damage. Dreadful Scream (1/Day). The spirit screams. Each creature within 30 feet of it must succeed on a Wisdom saving throw against your spell save DC or be frightened for 1 minute. The frightened creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."," Shadow Stealth (Fear Only). While in dim light or darkness, the spirit takes the Hide action.","","","","","",""
"Shadowghast","EGW","Medium","undead","chaotic evil","15","49 (9d8 + 9)","35 ft.","14","20","12","12","11","8","","Perception +3, Stealth +8","","necrotic","poison","charmed, exhaustion, poisoned","darkvision 60 ft., passive Perception 13","—","5 (1,800 XP)"," Shadow Stealth. While in dim light or darkness, the shadowghast can take the Hide action as a bonus action. Stench. Any creature that starts its turn within 5 feet of the shadowghast must succeed on a DC 12 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to this Stench for 24 hours."," Multiattack. The shadowghast makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one creature. Hit: 11 (2d8 + 2) slashing damage plus 5 (1d10) necrotic damage. Claws. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage. If the target is a creature other than an undead, it must succeed on a DC 12 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","",""
"Shadrix Silverquill","SCC","Gargantuan","dragon (bard)","neutral","21 (natural armor)","363 (22d20 + 132)","40 ft., fly 80 ft.","25","14","23","18","18","26","Dex +9, Con +13, Wis +11, Cha +15","Arcana +18, Deception +15, Perception +11, Persuasion +15","","","psychic, radiant","","blindsight 120 ft., passive Perception 21","all","22 (41,000 XP)"," Legendary Resistance (3/Day). If Shadrix fails a saving throw, he can choose to succeed instead."," Multiattack. Shadrix makes one Bite attack and two Claw attacks. Bite. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 12 (1d10 + 7) piercing damage plus 4 (1d8) radiant damage. Claw. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 10 (1d6 + 7) slashing damage. If the target is a creature, it is wracked with despair and has disadvantage on attack rolls until the end of its next turn. Illuminating Shadow Breath (Recharge 5–6). Shadrix exhales an entwined burst of blinding radiance and unnerving shadow in a 90-foot cone. Each creature in that area must make a DC 21 Constitution saving throw. On a failed save, a creature takes 31 (7d8) radiant damage and 31 (7d8) psychic damage and is blinded until the start of Shadrix's next turn. On a successful save, a creature takes half as much damage and isn't blinded. Spellcasting. Shadrix casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 23):1/day each: darkness, daylight, hypnotic pattern, sending, suggestion","",""," Claw. Shadrix makes one Claw attack. Shadow Slip (Costs 2 Actions). Shadrix becomes an inky cloud of shadow and can move up to half his flying speed without provoking opportunity attacks, then resumes his true form. During this movement, he can move through creatures and objects as if they were difficult terrain. If he moves through a creature, it must succeed on a DC 21 Constitution saving throw or become blinded until the end of its next turn. If Shadrix ends this move inside an object, he takes 5 (1d10) force damage and is shunted to the nearest unoccupied space. Flash of Inspiration (Costs 3 Actions). Shadrix magically summons 1d4 inkling mascots in unoccupied spaces he can see within 60 feet of himself. The inklings obey his commands and take their turns immediately after his. While any of these inklings live, Shadrix has advantage on attack rolls and saving throws. These inklings disappear after 10 minutes, when Shadrix dies, or when he uses this action again.","","","",""
"Shambling Mound","MM","Large","plant","unaligned","15 (natural armor)","136 (16d10 + 48)","20 ft., swim 20 ft.","18","8","16","5","10","5","","Stealth +2","","cold, fire","lightning","blinded, deafened, exhaustion","blindsight 60 ft. (blind beyond this radius), passive Perception 10","—","5 (1,800 XP)"," Lightning Absorption. Whenever the shambling mound is subjected to lightning damage, it takes no damage and regains a number of hit points equal to the lightning damage dealt."," Multiattack. The shambling mound makes two slam attacks. If both attacks hit a Medium or smaller target, the target is grappled (escape DC 14), and the shambling mound uses its Engulf on it. Slam. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage. Engulf. The shambling mound engulfs a Medium or smaller creature grappled by it. The engulfed target is blinded, restrained, and unable to breathe, and it must succeed on a DC 14 Constitution saving throw at the start of each of the mound's turns or take 13 (2d8 + 4) bludgeoning damage. If the mound moves, the engulfed target moves with it. The mound can have only one creature engulfed at a time.","","","","","","","Forest, Swamp"
"Shapechanged Roper","WDMM","Large","monstrosity","neutral evil","20 (natural armor)","93 (11d10 + 33)","10 ft., climb 10 ft.","18","8","17","7","16","6","","Perception +6, Stealth +5","","","","","darkvision 60 ft., passive Perception 16","—","5 (1,800 XP)"," Shapechanger. The roper can use its action to polymorph into a stone object or back to its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies. False Appearance. While the roper remains motionless, it is indistinguishable from a normal cave formation, such as a stalagmite. Grasping Tendrils. The roper can have up to six tendrils at a time. Each tendril can be attacked (AC 20; 10 hit points; immunity to poison and psychic damage). Destroying a tendril deals no damage to the roper, which can extrude a replacement tendril on its next turn. A tendril can also be broken if a creature takes an action and succeeds on a DC 15 Strength check against it. Spider Climb. The roper can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check."," Multiattack. The roper makes four attacks with its tendrils, uses Reel, and makes one attack with its bite. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 22 (4d8 + 4) piercing damage. Tendril. Melee Weapon Attack: +7 to hit, reach 50 ft., one creature. Hit: The target is grappled (escape DC 15). Until the grapple ends, the target is restrained and has disadvantage on Strength checks and Strength saving throws, and the roper can't use the same tendril on another target. Reel. The roper pulls each creature grappled by it up to 25 feet straight toward it.","","","","","","",""
"Shard Shunner","WDH","Small","humanoid (halfling, shapechanger)","lawful evil","12","27 (6d6 + 6)","30 ft.","10","15","12","11","10","8","","Perception +2, Stealth +4","","","bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","","darkvision 60 ft. (rat form only), passive Perception 12","Common, Halfling, Thieves' cant","2 (450 XP)"," Shapechanger. The Shard Shunner can use their action to polymorph into a rat-humanoid hybrid or into a giant rat, or back into their true form, which is humanoid. Their statistics, other than their size, are the same in each form. Any equipment they are wearing or carrying isn't transformed. They revert to their true form if they die. Brave. The Shard Shunner has advantage on saving throws against being frightened. Halfling Nimbleness. The Shard Shunner can move through the space of creatures that is of a size larger than them. Keen Smell. The Shard Shunner has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack (Humanoid or Hybrid Form Only). The Shard Shunner makes two attacks, only one of which can be a bite. Bite (Rat or Hybrid Form Only). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. If the target is a humanoid, it must succeed on a DC 11 Constitution saving throw or be cursed with wererat lycanthropy. Shortsword (Humanoid or Hybrid Form Only). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Hand Crossbow (Humanoid or Hybrid Form Only). Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","","","","","","",""
"Sharkbody Abomination","EGW","Large","aberration","unaligned","12 (natural armor)","45 (6d10 + 12)","20 ft., swim 40 ft.","18","13","15","1","10","4","","Perception +2","","","","","blindsight 30 ft., passive Perception 12","—","2 (450 XP)"," Blood Frenzy. The abomination has advantage on melee attack rolls against any creature that doesn't have all its hit points. Limited Amphibiousness. The abomination can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Water Breathing. The abomination can breathe only underwater."," Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.","","","","","","",""
"Sheep","SKT","Small","beast","unaligned","10","3 (1d6)","30 ft.","12","10","11","2","10","5","","","","","","","passive Perception 10","—","0 (0 or 10 XP)"," Sure-Footed. The sheep has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.","","","","","","","",""
"Shell Shark","GoS","Medium","monstrosity","unaligned","18 (shell plate armor)","32 (5d8 + 10)","0 ft., swim 40 ft.","15","12","14","3","10","7","Str +6","Athletics +6","","","","","darkvision 120 ft., passive Perception 10","—","2 (450 XP)"," Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. Magic Resistance. The shark has advantage on saving throws against spells and other magical effects. Water Breathing. The shark can breathe only underwater."," Multiattack. The shark makes two bite attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 13 (2d10 + 2) piercing damage.","","","","","","",""
"Shield Dwarf Guard","SKT","Medium","humanoid (dwarf)","lawful good","16 (chain shirt, shield)","11 (2d8 + 2)","25 ft. ","13","12","12","10","11","10","","Perception +2","","poison","","","darkvision 60 ft., passive Perception 12","any one language (usually Common), Dwarvish","1/8 (25 XP)"," Dwarven Resilience. The shield dwarf guard has advantage on saving throws against poison, and has resistance against poison damage."," Warhammer. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) bludgeoning damage, or 6 (1d10 + 1) bludgeoning damage if used with two hands.","","","","","","",""
"Shield Dwarf Noble","SKT","Medium","humanoid (dwarf)","lawful good","15 (breastplate)","9 (2d8)","25 ft. ","11","12","11","12","14","16","","Deception +5, Insight +4, Persuasion +5","","poison","","","darkvision 60 ft., passive Perception 12","any two languages, Dwarvish","1/8 (25 XP)"," Dwarven Resilience. The shield dwarf noble has advantage on saving throws against poison, and has resistance against poison damage."," Warhammer. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) bludgeoning damage, or 6 (1d10 + 1) bludgeoning damage if used with two hands.",""," Parry. The noble adds 2 to its AC against one melee attack that would hit it. To do so, the noble must see the attacker and be wielding a melee weapon.","","","","",""
"Shield Guardian","MM","Large","construct","unaligned","17 (natural armor)","142 (15d10 + 60)","30 ft.","18","8","18","7","10","3","","","","","poison","charmed, exhaustion, frightened, paralyzed, poisoned","blindsight 10 ft., darkvision 60 ft., passive Perception 10","understands commands given in any language but can't speak","7 (2,900 XP)"," Bound. The shield guardian is magically bound to an amulet. As long as the guardian and its amulet are on the same plane of existence, the amulet's wearer can telepathically call the guardian to travel to it, and the guardian knows the distance and direction to the amulet. If the guardian is within 60 feet of the amulet's wearer, half of any damage the wearer takes (rounded up) is transferred to the guardian. Regeneration. The shield guardian regains 10 hit points at the start of its turn if it has at least 1 hit point. Spell Storing. A spellcaster who wears the shield guardian's amulet can cause the guardian to store one spell of 4th level or lower. To do so, the wearer must cast the spell on the guardian. The spell has no effect but is stored within the guardian. When commanded to do so by the wearer or when a situation arises that was predefined by the spellcaster, the guardian casts the stored spell with any parameters set by the original caster, requiring no components. When the spell is cast or a new spell is stored, any previously stored spell is lost."," Multiattack. The guardian makes two fist attacks. Fist. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.",""," Shield. When a creature makes an attack against the wearer of the guardian's amulet, the guardian grants a +2 bonus to the wearer's AC if the guardian is within 5 feet of the wearer.","","","","","Urban"
"Shifter","ERLW","Medium","humanoid (shifter)","any alignment","14 (leather armor)","19 (3d8 + 6)","30 ft.","12","16","14","11","15","10","","Acrobatics +5, Insight +4, Nature +2, Perception +4","","","","","darkvision 60 ft., passive Perception 14","Common","1/2 (100 XP)"," Shifting (Recharges after a Short or Long Rest). As a bonus action, the shifter takes on a more bestial form for 1 minute or until it dies. The shifter gains 5 temporary hit points. It can make a bite attack when it activates this trait and also as a bonus action on each of its turns while in its bestial form."," Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage.","","","","","","",""
"Shoosuva","MPMM","Large","fiend (demon)","chaotic evil","14 (natural armor)","136 (16d10 + 48)","40 ft.","18","13","17","7","14","9","Dex +4, Con +6, Wis +5","","","cold, fire, lightning","poison","charmed, frightened, poisoned","darkvision 60 ft., passive Perception 12","Abyssal, Gnoll, telepathy 120 ft.","8 (3,900 XP)",""," Multiattack. The shoosuva makes one Bite attack and one Tail Stinger attack. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 26 (4d10 + 4) piercing damage. Tail Stinger. Melee Weapon Attack: +7 to hit, reach 15 ft., one creature. Hit: 13 (2d8 + 4) piercing damage, and the target must succeed on a DC 14 Constitution saving throw or become poisoned. While poisoned in this way, the target is also paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."," Rampage. When it reduces a creature to 0 hit points with a melee attack on its turn, the shoosuva can move up to half its speed and make one Bite attack.","","","","","","Coastal, Forest, Grassland, Hill"
"Shrieker","MM","Medium","plant","unaligned","5","13 (3d8)","0 ft.","1","1","10","1","3","1","","","","","","blinded, deafened, frightened","blindsight 30 ft. (blind beyond this radius), passive Perception 6","—","0 (0 or 10 XP)"," False Appearance. While the shrieker remains motionless, it is indistinguishable from an ordinary fungus."," Shriek. When bright light or a creature is within 30 feet of the shrieker, it emits a shriek audible within 300 feet of it. The shrieker continues to shriek until the disturbance moves out of range and for 1d4 of the shrieker's turns afterward.","","","","","","","Underdark"
